node	mat	pat	mat:pat	color
utig4-297	100000	0	100000:0	#FF8888
utig4-735	100000	0	100000:0	#FF8888
utig4-902	100000	0	100000:0	#FF8888
utig4-787	100000	0	100000:0	#FF8888
utig4-21	100000	0	100000:0	#FF8888
utig4-23	100000	0	100000:0	#FF8888
utig4-678	100000	0	100000:0	#FF8888
utig4-788	100000	0	100000:0	#FF8888
utig4-1007	100000	0	100000:0	#FF8888
utig4-1087	100000	0	100000:0	#FF8888
utig4-409	100000	0	100000:0	#FF8888
utig4-999	100000	0	100000:0	#FF8888
utig4-46	100000	0	100000:0	#FF8888
utig4-49	100000	0	100000:0	#FF8888
utig4-936	100000	0	100000:0	#FF8888
utig4-789	100000	0	100000:0	#FF8888
utig4-182	100000	0	100000:0	#FF8888
utig4-886	100000	0	100000:0	#FF8888
utig4-1031	0	100000	0:100000	#8888FF
utig4-48	0	100000	0:100000	#8888FF
utig4-326	0	100000	0:100000	#8888FF
utig4-955	0	100000	0:100000	#8888FF
utig4-446	0	100000	0:100000	#8888FF
utig4-998	0	100000	0:100000	#8888FF
utig4-432	0	100000	0:100000	#8888FF
utig4-809	0	100000	0:100000	#8888FF
utig4-958	0	100000	0:100000	#8888FF
utig4-941	0	100000	0:100000	#8888FF
utig4-47	0	100000	0:100000	#8888FF
utig4-737	0	100000	0:100000	#8888FF
utig4-981	0	100000	0:100000	#8888FF
utig4-541	0	100000	0:100000	#8888FF
utig4-22	0	100000	0:100000	#8888FF
utig4-892	0	100000	0:100000	#8888FF
utig4-20	0	100000	0:100000	#8888FF
utig4-703	0	100000	0:100000	#8888FF
utig4-543	0	100000	0:100000	#8888FF
utig4-771	0	100000	0:100000	#8888FF
utig4-812	5	14	5:14	#88FF88
utig4-793	20	2	20:2	#88FF88
utig4-716	4	13	4:13	#88FF88
utig4-93	100000	0	100000:0	#FF8888
utig4-95	100000	0	100000:0	#FF8888
utig4-899	100000	0	100000:0	#FF8888
utig4-824	100000	0	100000:0	#FF8888
utig4-150	100000	0	100000:0	#FF8888
utig4-839	100000	0	100000:0	#FF8888
utig4-833	100000	0	100000:0	#FF8888
utig4-148	100000	0	100000:0	#FF8888
utig4-82	100000	0	100000:0	#FF8888
utig4-822	100000	0	100000:0	#FF8888
utig4-618	100000	0	100000:0	#FF8888
utig4-706	100000	0	100000:0	#FF8888
utig4-900	100000	0	100000:0	#FF8888
utig4-1021	100000	0	100000:0	#FF8888
utig4-1030	0	100000	0:100000	#8888FF
utig4-840	0	100000	0:100000	#8888FF
utig4-1104	0	100000	0:100000	#8888FF
utig4-901	0	100000	0:100000	#8888FF
utig4-617	0	100000	0:100000	#8888FF
utig4-83	0	100000	0:100000	#8888FF
utig4-898	0	100000	0:100000	#8888FF
utig4-96	0	100000	0:100000	#8888FF
utig4-707	0	100000	0:100000	#8888FF
utig4-94	0	100000	0:100000	#8888FF
utig4-823	24	4	24:4	#88FF88
utig4-1048	1	12	1:12	#88FF88
utig4-1037	2	22	2:22	#88FF88
utig4-147	24	3	24:3	#88FF88
utig4-1091	100000	0	100000:0	#FF8888
utig4-888	100000	0	100000:0	#FF8888
utig4-668	100000	0	100000:0	#FF8888
utig4-884	100000	0	100000:0	#FF8888
utig4-794	100000	0	100000:0	#FF8888
utig4-986	100000	0	100000:0	#FF8888
utig4-667	0	100000	0:100000	#8888FF
utig4-887	0	100000	0:100000	#8888FF
utig4-669	0	100000	0:100000	#8888FF
utig4-492	100000	0	100000:0	#FF8888
utig4-748	100000	0	100000:0	#FF8888
utig4-1016	100000	0	100000:0	#FF8888
utig4-745	0	100000	0:100000	#8888FF
utig4-1107	0	100000	0:100000	#8888FF
utig4-425	100000	0	100000:0	#FF8888
utig4-646	100000	0	100000:0	#FF8888
utig4-125	100000	0	100000:0	#FF8888
utig4-861	100000	0	100000:0	#FF8888
utig4-644	100000	0	100000:0	#FF8888
